time in seconds, count in bar, beats in bar
0.15 , 4 , 4
0.55 , 1 , 4
0.95 , 2 , 4
1.35 , 3 , 4
1.75 , 4 , 4
2.15 , 1 , 4
2.55 , 2 , 4
2.95 , 3 , 4
3.35 , 4 , 4
3.75 , 1 , 4
4.15 , 2 , 4
4.55 , 3 , 4
4.95 , 4 , 4
5.35 , 1 , 4
5.75 , 2 , 4
6.15 , 3 , 4
6.54 , 4 , 4
6.93 , 1 , 4
7.32 , 2 , 4
7.71 , 3 , 4
8.1 , 4 , 4
8.49 , 1 , 4
8.88 , 2 , 4
9.27 , 3 , 4
9.66 , 4 , 4
10.05 , 1 , 4
10.44 , 2 , 4
10.83 , 3 , 4
11.22 , 4 , 4
11.61 , 1 , 4
12 , 2 , 4
12.39 , 3 , 4
12.78 , 4 , 4
13.17 , 1 , 4
13.56 , 2 , 4
13.95 , 3 , 4
14.35 , 4 , 4
14.75 , 1 , 4
15.15 , 2 , 4
15.55 , 3 , 4
15.95 , 4 , 4
16.35 , 1 , 4
16.75 , 2 , 4
17.15 , 3 , 4
17.55 , 4 , 4
17.95 , 1 , 4
18.34 , 2 , 4
18.73 , 3 , 4
19.12 , 4 , 4
19.51 , 1 , 4
19.9 , 2 , 4
20.29 , 3 , 4
20.68 , 4 , 4
21.06 , 1 , 4
21.44 , 2 , 4
21.82 , 3 , 4
22.2 , 4 , 4
22.58 , 1 , 4
22.96 , 2 , 4
23.34 , 3 , 4
23.72 , 4 , 4
24.1 , 1 , 4
24.48 , 2 , 4
24.86 , 3 , 4
25.24 , 4 , 4
25.61 , 1 , 4
25.98 , 2 , 4
26.35 , 3 , 4
26.72 , 4 , 4
27.09 , 1 , 4
27.46 , 2 , 4
27.85 , 3 , 4
28.24 , 4 , 4
28.63 , 1 , 4
29.02 , 2 , 4
29.41 , 3 , 4
29.8 , 4 , 4
30.19 , 1 , 4
30.58 , 2 , 4
30.97 , 3 , 4
31.36 , 4 , 4
31.75 , 1 , 4
32.14 , 2 , 4
32.53 , 3 , 4
32.92 , 4 , 4
33.31 , 1 , 4
33.7 , 2 , 4
34.09 , 3 , 4
34.48 , 4 , 4
34.88 , 1 , 4
35.28 , 2 , 4
35.68 , 3 , 4
36.08 , 4 , 4
36.48 , 1 , 4
36.88 , 2 , 4
37.28 , 3 , 4
37.68 , 4 , 4
38.08 , 1 , 4
38.48 , 2 , 4
38.88 , 3 , 4
39.28 , 4 , 4
39.68 , 1 , 4
40.08 , 2 , 4
40.48 , 3 , 4
40.88 , 4 , 4
41.28 , 1 , 4
41.68 , 2 , 4
